Vak,Methode,Leerjaar,Niveau,Boek-ID,Ebook,Ebook-ID,Tijdstempel,CDN-ID
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 1 leerwerkboek B FLEX,b849a168-61c8-4e21-8b8b-d4964ed9acda,20210603121132,
,,,,,Nectar 5e editie biologie vmbo-kgt deel 2 leerwerkboek A FLEX,26a526d4-2a29-41f3-84f8-cdb2ee1b0d7e,20200629153909,
,,,,,Nectar 5e editie biologie vmbo-kgt deel 2 leerwerkboek B FLEX,78aee193-0227-4700-a610-4ff6b4ae0717,20200629162059,
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 2 leerwerkboek A FLEX,383f05dd-e787-4fc7-b6a5-f9b1b68fa56c,20210603124942,
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 2 leerwerkboek B FLEX,368fca75-7906-4cad-aa90-15371e190456,20210603125844,
Biologie,Nectar,1,vmbo kgt,2adf847b-4458-4b84-ad81-32ce30f8769a,Nectar 5e editie biologie vmbo-kgt deel 1 leerboek,6a8047cd-0337-4cc8-87d7-a360c208cd8c,20170628113838,
,,,,,Nectar 5e editie biologie vmbo-kgt deel 1 werkboek A,f206449f-2edf-4920-96c1-14453c2f4bfc,20180227102701,
,,,,,Nectar 5e editie biologie vmbo-kgt deel 1 werkboek B,257a60e8-7f8a-481d-9eb1-05e7f7ccee6f,20180212131600,
Biologie,Nectar,1,vmbo t / havo,2077e2c9-d4bc-46d0-bfd1-29b25614f76c,Nectar 5e editie biologie vmbo-t/havo deel 1 leerboek,3fd49cf0-7072-444d-94d1-7108c417d46f,20170718121552,
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 1 werkboek A,c9806e5c-2746-4ad4-9dd5-53969811fc10,20180227101441,
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 1 werkboek B,827064c4-b915-42e3-8ece-069a62746ac2,20180227083209,
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 1 leerwerkboek A FLEX,5b4169c4-838f-4452-bfca-e4e7f5f3b307,20210603120439,
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 1 leerwerkboek B FLEX,b849a168-61c8-4e21-8b8b-d4964ed9acda,20210603121132,
Biologie,Nectar,1,vmbo t / havo,88a9dbb4-f21f-44c6-8bc0-59fecbabe131,Nectar 5e editie biologie vmbo-t/havo deel 1 leerboek,3fd49cf0-7072-444d-94d1-7108c417d46f,20170718121552,
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 1 werkboek A,c9806e5c-2746-4ad4-9dd5-53969811fc10,20180227101441,
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 1 werkboek B,827064c4-b915-42e3-8ece-069a62746ac2,20180227083209,
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 1 leerwerkboek A FLEX,5b4169c4-838f-4452-bfca-e4e7f5f3b307,20210603120439,
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 1 leerwerkboek B FLEX,b849a168-61c8-4e21-8b8b-d4964ed9acda,20210603121132,
Biologie,Nectar,1,vwo,5f008ded-4201-4c6d-bef1-c777911bded9,Nectar 5e editie biologie vwo deel 1 leerboek,3723c8af-b2dc-4779-833a-0f02c433465e,20180227090127,
,,,,,Nectar 5e editie biologie vwo deel 1 werkboek A,49d21b9a-7e92-4a95-bc75-0d9bde481064,20180227094230,
,,,,,Nectar 5e editie biologie vwo deel 1 werkboek B,aea72468-3c40-44fb-8d4f-51ba1998a6dc,20180227091417,
,,,,,Nectar 5e editie biologie vwo deel 1 leerwerkboek A FLEX,dba80c5b-ed69-4704-aa9c-e49735b62f81,20210603122740,
,,,,,Nectar 5e editie biologie vwo deel 1 leerwerkboek B FLEX,b69d2cd0-6143-4e63-9c5a-ba69fdc75cd9,20210603123632,
Biologie,Nectar,1,vwo,81628663-150f-4358-b948-31736d8c4fd3,Nectar 5e editie biologie vwo deel 1 leerboek,3723c8af-b2dc-4779-833a-0f02c433465e,20180227090127,
,,,,,Nectar 5e editie biologie vwo deel 1 werkboek A,49d21b9a-7e92-4a95-bc75-0d9bde481064,20180227094230,
,,,,,Nectar 5e editie biologie vwo deel 1 werkboek B,aea72468-3c40-44fb-8d4f-51ba1998a6dc,20180227091417,
,,,,,Nectar 5e editie biologie vwo deel 1 leerwerkboek A FLEX,dba80c5b-ed69-4704-aa9c-e49735b62f81,20210603122740,
,,,,,Nectar 5e editie biologie vwo deel 1 leerwerkboek B FLEX,b69d2cd0-6143-4e63-9c5a-ba69fdc75cd9,20210603123632,
Biologie,Nectar,2,havo / vwo,84313ccc-7143-449f-9700-179745fad6f0,Nectar havo/vwo 2-3 English (5e ed.) Textbook,cbd0652b-6d5c-4691-b3a3-93dde5199e28,20181019110810,d7d5d3c0-b9e7-4468-b3fc-51816a60850b
,,,,,Nectar havo/vwo 2-3 English (5e ed.) Workbook A,1ee56d11-626c-4487-93ee-1f6f284a72af,20181025104230,5924e1d6-71dd-456f-81c0-04661c8a8cb5
,,,,,Nectar havo/vwo 2-3 English (5e ed.) Workbook B,f20356c7-d434-4a0a-bb87-4d21cb11e3ee,20181227133421,8a593f61-6a71-498d-834c-4821df5e4822
Biologie,Nectar,2,vmbo bk,9b0f4147-f249-4843-9ec0-614500c9e492,Nectar 5e editie 2 vmbo-bk Leerwerkboek A,efb55f1d-d943-4989-9fad-8d32c22502ed,20181005101511,
,,,,,Nectar 5e editie 2 vmbo-bk Leerwerkboek B,011d8abb-05de-4bb1-9711-08d9f54d098e,20181227095745,
Biologie,Nectar,2,vmbo kgt,0b8b8c6d-92ac-48cf-9410-cfa9343797a6,Nectar 5e editie biologie vmbo-kgt deel 2 leerwerkboek A FLEX,26a526d4-2a29-41f3-84f8-cdb2ee1b0d7e,20200629153909,
,,,,,Nectar 5e editie biologie vmbo-kgt deel 2 leerwerkboek B FLEX,78aee193-0227-4700-a610-4ff6b4ae0717,20200629162059,
,,,,,Nectar 5e editie 2 vmbo kgt biologie leerboek,f9c50c25-3a7a-40cd-94fe-9d1c39106f2e,20180918112920,
,,,,,Nectar 5e editie 2 vmbo kgt Biologie Werkboek A,f5749c47-5cd9-4e27-988c-d5e8f87e8dd5,20180918110018,
,,,,,Nectar 5e editie 2 vmbo kgt Biologie Werkboek B,c0299ecb-b15e-4f9c-ad78-08eb9337cc9c,20181207134931,
Biologie,Nectar,2,vmbo kgt,e674d4a5-7188-40ba-bab7-a34cd7dd9334,Nectar 5e editie 2 vmbo kgt Leerboek,f9c50c25-3a7a-40cd-94fe-9d1c39106f2e,20180918112920,
,,,,,Nectar 5e editie 2 vmbo kgt Werkboek A,f5749c47-5cd9-4e27-988c-d5e8f87e8dd5,20180918110018,
,,,,,Nectar 5e editie 2 vmbo kgt Werkboek B,c0299ecb-b15e-4f9c-ad78-08eb9337cc9c,20181207134931,
Biologie,Nectar,2,vmbo t / havo,3b7d984d-f282-4e2c-ae16-cfd832ddac90,Nectar 5e editie 2 vmbo-t/havo Leerboek,cdda214e-d7be-4339-a74b-4de1b70d8e76,20190603092408,
,,,,,Nectar 5e editie 2 vmbo-t/havo Werkboek A,a33e7285-e2ec-4963-8284-223d04a7ac2a,20190603090646,
,,,,,Nectar 5e editie 2 vmbo-t/havo Werkboek B,7a9d4c39-77f4-4e55-9624-5675f2c59f3e,20190603091029,
,,,,,Nectar 5e editie 2 vmbo-t/havo leerwerkboek A FLEX,383f05dd-e787-4fc7-b6a5-f9b1b68fa56c,20210603124942,
,,,,,Nectar 5e editie 2 vmbo-t/havo leerwerkboek B FLEX,368fca75-7906-4cad-aa90-15371e190456,20210603125844,
Biologie,Nectar,2,vmbo t / havo,adf17fe8-485b-49a6-82e0-8dbe1f3e904f,Nectar 5e editie biologie vmbo-t/havo deel 2 leerwerkboek A FLEX,383f05dd-e787-4fc7-b6a5-f9b1b68fa56c,20210603124942,
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 2 leerwerkboek B FLEX,368fca75-7906-4cad-aa90-15371e190456,20210603125844,
,,,,,Nectar 5e editie 2 vmbo-t/havo Biologie Leerboek,cdda214e-d7be-4339-a74b-4de1b70d8e76,20190603092408,
,,,,,Nectar 5e editie 2 vmbo-t/havo Biologie Werkboek A,a33e7285-e2ec-4963-8284-223d04a7ac2a,20190603090646,
,,,,,Nectar 5e editie 2 vmbo-t/havo Biologie Werkboek B,7a9d4c39-77f4-4e55-9624-5675f2c59f3e,20190603091029,
Biologie,Nectar,"2, 3",havo / vwo,4b05565d-d7ee-45dc-ad22-b2450923dbc9,Nectar 5e editie 2-3 havo/vwo Biologie Leerboek,f64da8d0-ab8a-4d02-8f5d-8878bfbc1135,20180711083022,
,,,,,Nectar 5e editie 2-3 havo/vwo Leerboek FLEX,9e2eaf85-64a4-404f-9120-8a22b7030920,20210224103645,
,,,,,Nectar 5e editie 2-3 havo/vwo Werkboek A,43aa0825-2a35-4292-af68-73259cbd1a75,20181002135006,
,,,,,Nectar 5e editie 2-3 havo/vwo Werkboek B,88d1c0be-b766-49cc-9544-32b13aacc414,20181207133556,
